name,areaid
北京_北京_北京,101010100
北京_北京_海淀,101010200
北京_北京_朝阳,101010300
北京_北京_顺义,101010400
北京_北京_怀柔,101010500
北京_北京_通州,101010600
北京_北京_昌平,101010700
北京_北京_延庆,101010800
北京_北京_丰台,101010900
北京_北京_石景山,101011000
北京_北京_大兴,101011100
北京_北京_房山,101011200
北京_北京_密云,101011300
北京_北京_门头沟,101011400
北京_北京_平谷,101011500
上海_上海_上海,101020100
上海_上海_闵行,101020200
上海_上海_宝山,101020300
上海_上海_嘉定,101020500
上海_上海_浦东新区,101020600
上海_上海_金山,101020700
上海_上海_青浦,101020800
上海_上海_松江,101020900
上海_上海_奉贤,101021000
上海_上海_崇明,101021100
上海_上海_徐汇,101021200
天津_天津_天津,101030100
天津_天津_武清,101030200
天津_天津_宝坻,101030300
天津_天津_东丽,101030400
天津_天津_西青,101030500
天津_天津_北辰,101030600
天津_天津_宁河,101030700
天津_天津_静海,101030900
天津_天津_津南,101031000
天津_天津_滨海新区,101031100
天津_天津_蓟县,101031400
重庆_重庆_重庆,101040100
重庆_重庆_永川,101040200
重庆_重庆_合川,101040300
重庆_重庆_南川,101040400
重庆_重庆_江津,101040500
重庆_重庆_万盛,101040600
重庆_重庆_渝北,101040700
重庆_重庆_北碚,101040800
重庆_重庆_巴南,101040900
重庆_重庆_长寿,101041000
重庆_重庆_黔江,101041100
重庆_重庆_万州,101041300
重庆_重庆_涪陵,101041400
重庆_重庆_开县,101041500
重庆_重庆_城口,101041600
重庆_重庆_云阳,101041700
重庆_重庆_巫溪,101041800
重庆_重庆_奉节,101041900
重庆_重庆_巫山,101042000
重庆_重庆_潼南,101042100
重庆_重庆_垫江,101042200
重庆_重庆_梁平,101042300
重庆_重庆_忠县,101042400
重庆_重庆_石柱,101042500
重庆_重庆_大足,101042600
重庆_重庆_荣昌,101042700
重庆_重庆_铜梁,101042800
重庆_重庆_璧山,101042900
重庆_重庆_丰都,101043000
重庆_重庆_武隆,101043100
重庆_重庆_彭水,101043200
重庆_重庆_綦江,101043300
重庆_重庆_酉阳,101043400
重庆_重庆_秀山,101043600
黑龙江_哈尔滨_哈尔滨,101050101
黑龙江_哈尔滨_双城,101050102
黑龙江_哈尔滨_呼兰,101050103
黑龙江_哈尔滨_阿城,101050104
黑龙江_哈尔滨_宾县,101050105
黑龙江_哈尔滨_依兰,101050106
黑龙江_哈尔滨_巴彦,101050107
黑龙江_哈尔滨_通河,101050108
黑龙江_哈尔滨_方正,101050109
黑龙江_哈尔滨_延寿,101050110
黑龙江_哈尔滨_尚志,101050111
黑龙江_哈尔滨_五常,101050112
黑龙江_哈尔滨_木兰,101050113
黑龙江_哈尔滨_道里,101050114
黑龙江_哈尔滨_南岗,101050115
黑龙江_哈尔滨_道外,101050116
黑龙江_哈尔滨_平房,101050117
黑龙江_哈尔滨_松北,101050118
黑龙江_哈尔滨_香坊,101050119
黑龙江_齐齐哈尔_齐齐哈尔,101050201
黑龙江_齐齐哈尔_讷河,101050202
黑龙江_齐齐哈尔_龙江,101050203
黑龙江_齐齐哈尔_甘南,101050204
黑龙江_齐齐哈尔_富裕,101050205
黑龙江_齐齐哈尔_依安,101050206
黑龙江_齐齐哈尔_拜泉,101050207
黑龙江_齐齐哈尔_克山,101050208
黑龙江_齐齐哈尔_克东,101050209
黑龙江_齐齐哈尔_泰来,101050210
黑龙江_齐齐哈尔_龙沙,101050211
黑龙江_齐齐哈尔_建华,101050212
黑龙江_齐齐哈尔_铁锋,101050213
黑龙江_齐齐哈尔_昂昂溪,101050214
黑龙江_齐齐哈尔_富拉尔基,101050215
黑龙江_齐齐哈尔_碾子山,101050216
黑龙江_齐齐哈尔_梅里斯,101050217
黑龙江_牡丹江_牡丹江,101050301
黑龙江_牡丹江_海林,101050302
黑龙江_牡丹江_穆棱,101050303
黑龙江_牡丹江_林口,101050304
黑龙江_牡丹江_绥芬河,101050305
黑龙江_牡丹江_宁安,101050306
黑龙江_牡丹江_东宁,101050307
黑龙江_牡丹江_东安,101050308
黑龙江_牡丹江_阳明,101050309
黑龙江_牡丹江_爱民,101050310
黑龙江_牡丹江_西安,101050311
黑龙江_佳木斯_佳木斯,101050401
黑龙江_佳木斯_汤原,101050402
黑龙江_佳木斯_抚远,101050403
黑龙江_佳木斯_桦川,101050404
黑龙江_佳木斯_桦南,101050405
黑龙江_佳木斯_同江,101050406
黑龙江_佳木斯_富锦,101050407
黑龙江_佳木斯_向阳,101050408
黑龙江_佳木斯_前进,101050409
黑龙江_佳木斯_东风,101050410
黑龙江_佳木斯_郊区,101050411
黑龙江_绥化_绥化,101050501
黑龙江_绥化_肇东,101050502
黑龙江_绥化_安达,101050503
黑龙江_绥化_海伦,101050504
黑龙江_绥化_明水,101050505
黑龙江_绥化_望奎,101050506
黑龙江_绥化_兰西,101050507
黑龙江_绥化_青冈,101050508
黑龙江_绥化_庆安,101050509
黑龙江_绥化_绥棱,101050510
黑龙江_绥化_北林,101050511
黑龙江_黑河_黑河,101050601
黑龙江_黑河_嫩江,101050602
黑龙江_黑河_孙吴,101050603
黑龙江_黑河_逊克,101050604
黑龙江_黑河_五大连池,101050605
黑龙江_黑河_北安,101050606
黑龙江_黑河_爱辉,101050607
黑龙江_大兴安岭_大兴安岭,101050701
黑龙江_大兴安岭_塔河,101050702
黑龙江_大兴安岭_漠河,101050703
黑龙江_大兴安岭_呼玛,101050704
黑龙江_大兴安岭_呼中,101050705
黑龙江_大兴安岭_新林,101050706
黑龙江_大兴安岭_加格达奇,101050708
黑龙江_伊春_伊春,101050801
黑龙江_伊春_乌伊岭,101050802
黑龙江_伊春_五营,101050803
黑龙江_伊春_铁力,101050804
黑龙江_伊春_嘉荫,101050805
黑龙江_伊春_南岔,101050806
黑龙江_伊春_友好,101050807
黑龙江_伊春_西林,101050808
黑龙江_伊春_翠峦,101050809
黑龙江_伊春_新青,101050810
黑龙江_伊春_美溪,101050811
黑龙江_伊春_金山屯,101050812
黑龙江_伊春_乌马河,101050813
黑龙江_伊春_汤旺河,101050814
黑龙江_伊春_带岭,101050815
黑龙江_伊春_红星,101050816
黑龙江_伊春_上甘岭,101050817
黑龙江_大庆_大庆,101050901
黑龙江_大庆_林甸,101050902
黑龙江_大庆_肇州,101050903
黑龙江_大庆_肇源,101050904
黑龙江_大庆_杜尔伯特,101050905
黑龙江_大庆_萨尔图,101050906
黑龙江_大庆_龙凤,101050907
黑龙江_大庆_让胡路,101050908
黑龙江_大庆_红岗,101050909
黑龙江_大庆_大同,101050910
黑龙江_七台河_新兴,101051001
黑龙江_七台河_七台河,101051002
黑龙江_七台河_勃利,101051003
黑龙江_七台河_桃山,101051004
黑龙江_七台河_茄子河,101051005
黑龙江_鸡西_鸡西,101051101
黑龙江_鸡西_虎林,101051102
黑龙江_鸡西_密山,101051103
黑龙江_鸡西_鸡东,101051104
黑龙江_鸡西_鸡冠,101051105
黑龙江_鸡西_恒山,101051106
黑龙江_鸡西_滴道,101051107
黑龙江_鸡西_梨树,101051108
黑龙江_鸡西_城子河,101051109
黑龙江_鸡西_麻山,101051110
黑龙江_鹤岗_鹤岗,101051201
黑龙江_鹤岗_绥滨,101051202
黑龙江_鹤岗_萝北,101051203
黑龙江_鹤岗_向阳,101051204
黑龙江_鹤岗_工农,101051205
黑龙江_鹤岗_南山,101051206
黑龙江_鹤岗_兴安,101051207
黑龙江_鹤岗_东山,101051208
黑龙江_鹤岗_兴山,101051209
黑龙江_双鸭山_双鸭山,101051301
黑龙江_双鸭山_集贤,101051302
黑龙江_双鸭山_宝清,101051303
黑龙江_双鸭山_饶河,101051304
黑龙江_双鸭山_友谊,101051305
黑龙江_双鸭山_尖山,101051306
黑龙江_双鸭山_岭东,101051307
黑龙江_双鸭山_四方台,101051308
黑龙江_双鸭山_宝山,101051309
吉林_长春_长春,101060101
吉林_长春_农安,101060102
吉林_长春_德惠,101060103
吉林_长春_九台,101060104
吉林_长春_榆树,101060105
吉林_长春_双阳,101060106
吉林_长春_二道,101060107
吉林_长春_南关,101060108
吉林_长春_宽城,101060109
吉林_长春_朝阳,101060110
吉林_长春_绿园,101060111
吉林_吉林_吉林,101060201
吉林_吉林_舒兰,101060202
吉林_吉林_永吉,101060203
吉林_吉林_蛟河,101060204
吉林_吉林_磐石,101060205
吉林_吉林_桦甸,101060206
吉林_吉林_昌邑,101060207
吉林_吉林_龙潭,101060208
吉林_吉林_船营,101060209
吉林_吉林_丰满,101060210
吉林_延边_延吉,101060301
吉林_延边_敦化,101060302
吉林_延边_安图,101060303
吉林_延边_汪清,101060304
吉林_延边_和龙,101060305
吉林_延边_延边,101060306
吉林_延边_龙井,101060307
吉林_延边_珲春,101060308
吉林_延边_图们,101060309
吉林_四平_四平,101060401
吉林_四平_双辽,101060402
吉林_四平_梨树,101060403
吉林_四平_公主岭,101060404
吉林_四平_伊通,101060405
吉林_四平_铁西,101060406
吉林_四平_铁东,101060407
吉林_通化_通化,101060501
吉林_通化_梅河口,101060502
吉林_通化_柳河,101060503
吉林_通化_辉南,101060504
吉林_通化_集安,101060505
吉林_通化_通化县,101060506
吉林_通化_东昌,101060507
吉林_通化_二道江,101060508
吉林_白城_白城,101060601
吉林_白城_洮南,101060602
吉林_白城_大安,101060603
吉林_白城_镇赉,101060604
吉林_白城_通榆,101060605
吉林_白城_洮北,101060606
吉林_辽源_辽源,101060701
吉林_辽源_东丰,101060702
吉林_辽源_东辽,101060703
吉林_辽源_龙山,101060704
吉林_辽源_西安,101060705
吉林_松原_松原,101060801
吉林_松原_乾安,101060802
吉林_松原_前郭,101060803
吉林_松原_长岭,101060804
吉林_松原_扶余,101060805
吉林_松原_宁江,101060806
吉林_白山_白山,101060901
吉林_白山_靖宇,101060902
吉林_白山_临江,101060903
吉林_白山_东岗,101060904
吉林_白山_长白,101060905
吉林_白山_抚松,101060906
吉林_白山_江源,101060907
吉林_白山_浑江,101060908
辽宁_沈阳_沈阳,101070101
辽宁_沈阳_浑南,101070102
辽宁_沈阳_辽中,101070103
辽宁_沈阳_康平,101070104
辽宁_沈阳_法库,101070105
辽宁_沈阳_新民,101070106
辽宁_沈阳_和平,101070107
辽宁_沈阳_沈河,101070108
辽宁_沈阳_大东,101070109
辽宁_沈阳_皇姑,101070110
